description,id,calls,totalTime,childTime,active,parentId
application::main,0,1,0.946502447,0.723862635,true,
profBuildStencil,1,1,0.679802604,0,false,0
partialStdStencil,2,1,0.007389239,0.004714632,false,0
partialStdStencilbuildStencil,3,1,0.004714632,0,false,2
partialZoneDist,4,1,0.001823141,0.001557644,false,0
partialZoneDistbuildStencil,5,1,0.001557644,0,false,4
partialStencilLooper,6,1,0.000493151,0.000329118,false,0
partialStencilLooperbuildStencil,7,1,0.000329118,0,false,6
partialsubSetStencil,8,1,0.000949343,0.000585027,false,0
partialsubSetStencilbuildStencil,9,1,0.000585027,0,false,8
maskedmaskedStencil,10,1,0.000830686,0.00069653,false,0
maskedmaskedStencilbuildStencil,11,1,0.00069653,0,false,10
fullStdStencil,12,1,0.007006429,0.004065593,false,0
fullStdStencilbuildStencil,13,1,0.004065593,0,false,12
fullZoneDist,14,1,0.00723176,0.003066455,false,0
fullZoneDistbuildStencil,15,1,0.003066455,0,false,14
fullStencilLooper,16,1,0.003376608,0.00028801,false,0
fullStencilLooperbuildStencil,17,1,0.00028801,0,false,16
fullsubSetStencil,18,1,0.008563281,0.006013893,false,0
fullsubSetStencilbuildStencil,19,1,0.006013893,0,false,18
fullmaskedStencil,20,1,0.006396393,0.004564496,false,0
fullmaskedStencilbuildStencil,21,1,0.004564496,0,false,20
